item_name,amount_GBP,item_category,item_group
rent,1300,Fundamentals,Living Expenses
tfl,0,Fundamentals,Travel
Lunch @ work,0,Fundamentals,Living Expenses
Phone Bill,20,Fundamentals,Living Expenses
Coursera,38,Future ,Education
Fuel,62,Fundamentals,Travel
Netflix,4.99,Fun,Entertainment
iCloud,3.98,Fun,Entertainment
Virgin Media CC,25,Future ,Credit Repayment
Haircut,15,Fundamentals,Living Expenses
Takeaway,140.57,Fun,Eating Out
Amex,53.61,Future ,Credit Repayment
Barclaycard,105,Future ,Credit Repayment
Zakaat,496.61,Fundamentals,Charity
Vacation Fund,120,Future ,Entertainment
Sadia,50,Miscellaneous,Gifts
Misc,56.13,Miscellaneous,Groceries + whatever
Headphones,26.09,Fun,Entertainment
Total,2516.98,,
